iter	Logloss
0	0.6846051909
1	0.6776169806
2	0.6696781642
3	0.6628680066
4	0.6554407305
5	0.6478274426
6	0.6410311748
7	0.6343203242
8	0.628779719
9	0.6223728324
10	0.6170686416
11	0.6111767626
12	0.605772885
13	0.5996936455
14	0.5943952338
15	0.5890545969
16	0.5836700255
17	0.5784714114
18	0.5733345785
19	0.5693646806
20	0.5643680864
21	0.5601015934
22	0.5562141177
23	0.5525230902
24	0.5482107246
25	0.5439076691
26	0.5401056196
27	0.5360893431
28	0.53220168
29	0.5282733437
30	0.5242897779
31	0.5205832927
32	0.5175516924
33	0.5142130295
34	0.511355593
35	0.5079487894
36	0.5048158575
37	0.5015930403
38	0.4989865721
39	0.4961923551
40	0.493738608
41	0.4907900443
42	0.4881462339
43	0.4850725022
44	0.4826843228
45	0.4801256935
46	0.4779171801
47	0.4760452621
48	0.4742339002
49	0.4720566519
50	0.4700442328
51	0.4681055319
52	0.466168505
53	0.4644688775
54	0.4623511839
55	0.4604689049
56	0.4588181158
57	0.4566239546
58	0.4546071407
59	0.4526254755
60	0.450548056
61	0.4489927513
62	0.4471614853
63	0.4451933977
64	0.4435310872
65	0.4420989435
66	0.4402130756
67	0.4387731502
68	0.4371778689
69	0.435565421
70	0.4342267448
71	0.4326536141
72	0.4310886526
73	0.429837065
74	0.4287771742
75	0.4277286462
76	0.4264423319
77	0.4250872194
78	0.4237326354
79	0.4225142772
80	0.4214403809
81	0.4205162011
82	0.419470004
83	0.418282651
84	0.4174454706
85	0.4162356211
86	0.4152381911
87	0.4142183378
88	0.4131627022
89	0.4124219914
90	0.4112884613
91	0.41020046
92	0.4090967644
93	0.4083349106
94	0.4075969954
95	0.4066724444
96	0.4057240316
97	0.4048039743
98	0.4040188715
99	0.4032945534
100	0.4027183747
101	0.401806279
102	0.4009392792
103	0.4001902441
104	0.3993617367
105	0.3986744333
106	0.3979446931
107	0.397145754
108	0.396556923
109	0.3960185128
110	0.3953156164
111	0.3948557031
112	0.3941194555
113	0.39343817
114	0.3928805168
115	0.3922130135
116	0.3917541277
117	0.3912622962
118	0.390633125
119	0.3901079038
120	0.3896590458
121	0.3891613096
122	0.3885825905
123	0.38817551
124	0.3878314821
125	0.387266475
126	0.3867568886
127	0.3863639937
128	0.3858910629
129	0.3854056622
130	0.3849845394
131	0.3844464104
132	0.3839651212
133	0.3835847776
134	0.3831511123
135	0.3828173934
136	0.3824640291
137	0.3820419318
138	0.3816948256
139	0.3812295756
140	0.3809279845
141	0.3805540233
142	0.3802800445
143	0.3798980943
144	0.3795702501
145	0.3792651853
146	0.3789707974
147	0.3785733338
148	0.3781520475
149	0.3778454515
150	0.3774942328
151	0.3771960076
152	0.3768438089
153	0.3765415683
154	0.3762659221
155	0.3759457028
156	0.3756287507
157	0.3752097575
158	0.3748096742
159	0.37453331
160	0.3743139886
161	0.3740773744
162	0.3737543836
163	0.3734730845
164	0.3731722699
165	0.3729668954
166	0.3727534619
167	0.3723995863
168	0.3720987042
169	0.3719110641
170	0.3716345533
171	0.3713249069
172	0.371067017
173	0.3707584525
174	0.3704973949
175	0.3701298442
176	0.3698106338
177	0.3696724519
178	0.3694588917
179	0.3691728563
180	0.3689632043
181	0.3686746266
182	0.3683750889
183	0.3681939216
184	0.368018562
185	0.3677369586
186	0.3675426974
187	0.3673370282
188	0.3671244283
189	0.3669600131
190	0.366660744
191	0.3665485045
192	0.3662881779
193	0.366057232
194	0.3658519168
195	0.3656379133
196	0.3654034636
197	0.3651642289
198	0.3649774792
199	0.3647582342
200	0.3645624276
