iter	Passed	Remaining
0	65	65596
1	81	40750
2	95	31866
3	108	26938
4	123	24598
5	141	23517
6	161	22942
7	179	22315
8	201	22214
9	226	22451
10	253	22757
11	274	22592
12	298	22650
13	319	22506
14	340	22389
15	362	22322
16	381	22040
17	396	21637
18	412	21272
19	430	21099
20	459	21439
21	479	21311
22	497	21152
23	520	21165
24	538	20991
25	555	20793
26	571	20589
27	590	20506
28	607	20329
29	624	20204
30	641	20061
31	659	19957
32	674	19773
33	689	19598
34	704	19434
35	722	19349
36	741	19299
37	761	19286
38	782	19290
39	804	19308
40	824	19292
41	841	19201
42	856	19068
43	873	18969
44	891	18929
45	907	18824
46	922	18696
47	937	18600
48	954	18530
49	970	18446
50	989	18407
51	1007	18373
52	1028	18384
53	1043	18280
54	1063	18277
55	1082	18244
56	1098	18176
57	1116	18137
58	1142	18227
59	1159	18159
60	1178	18139
61	1196	18099
62	1216	18085
63	1233	18042
64	1254	18041
65	1270	17982
66	1293	18006
67	1310	17958
68	1327	17905
69	1341	17829
70	1356	17752
71	1373	17706
72	1388	17636
73	1403	17567
74	1419	17505
75	1434	17438
76	1448	17366
77	1464	17309
78	1483	17289
79	1500	17254
80	1515	17192
81	1531	17145
82	1548	17105
83	1564	17056
84	1581	17021
85	1597	16981
86	1617	16978
87	1635	16945
88	1650	16893
89	1664	16828
90	1680	16791
91	1698	16764
92	1712	16706
93	1731	16692
94	1748	16657
95	1768	16649
96	1785	16621
97	1802	16593
98	1821	16576
99	1837	16540
100	1852	16491
101	1873	16489
102	1888	16445
103	1901	16385
104	1917	16341
105	1934	16318
106	1949	16268
107	1976	16327
108	1998	16336
109	2020	16343
110	2034	16292
111	2051	16261
112	2072	16267
113	2089	16238
114	2105	16200
115	2121	16163
116	2139	16143
117	2160	16151
118	2180	16142
119	2196	16106
120	2222	16144
121	2246	16165
122	2271	16197
123	2297	16229
124	2318	16232
125	2340	16235
126	2357	16203
127	2373	16172
128	2392	16151
129	2407	16109
130	2421	16060
131	2439	16044
132	2457	16017
133	2474	15992
134	2490	15955
135	2504	15911
136	2523	15893
137	2543	15886
138	2564	15884
139	2578	15842
140	2599	15838
141	2615	15804
142	2635	15793
143	2654	15777
144	2670	15749
145	2686	15714
146	2703	15686
147	2719	15654
148	2733	15614
149	2750	15584
150	2766	15555
151	2781	15519
152	2797	15484
153	2812	15448
154	2829	15424
155	2845	15394
156	2859	15355
157	2892	15414
158	2909	15387
159	2924	15353
160	2938	15314
161	2961	15319
162	2984	15327
163	2998	15286
164	3020	15283
165	3034	15244
166	3050	15213
167	3068	15197
168	3084	15167
169	3098	15128
170	3117	15113
171	3133	15082
172	3147	15045
173	3166	15030
174	3186	15021
175	3204	15005
176	3222	14985
177	3245	14989
178	3261	14960
179	3278	14935
180	3297	14922
181	3316	14905
182	3331	14873
183	3345	14837
184	3366	14831
185	3381	14800
186	3395	14760
187	3409	14728
188	3428	14710
189	3446	14692
190	3462	14665
191	3476	14631
192	3496	14620
193	3515	14603
194	3531	14576
195	3551	14568
196	3568	14547
197	3590	14545
198	3607	14521
199	3625	14502
200	3640	14471
201	3655	14440
202	3673	14423
203	3690	14398
204	3708	14379
205	3726	14363
206	3746	14351
207	3765	14338
208	3780	14309
209	3802	14303
210	3825	14303
211	3839	14270
212	3855	14244
213	3869	14211
214	3886	14188
215	3899	14154
216	3914	14123
217	3932	14107
218	3949	14085
219	3968	14069
220	3983	14040
221	3997	14009
222	4019	14006
223	4034	13975
224	4048	13945
225	4065	13923
226	4080	13896
227	4094	13864
228	4109	13836
229	4127	13819
230	4144	13798
231	4161	13777
232	4177	13750
233	4194	13730
234	4212	13712
235	4230	13696
236	4247	13675
237	4266	13659
238	4284	13640
239	4299	13616
240	4318	13599
241	4335	13579
242	4353	13560
243	4369	13538
244	4383	13508
245	4400	13487
246	4414	13458
247	4433	13444
248	4451	13425
249	4467	13402
250	4481	13374
251	4500	13358
252	4518	13341
253	4533	13313
254	4546	13283
255	4561	13257
256	4580	13243
257	4598	13225
258	4613	13200
259	4627	13170
260	4642	13143
261	4661	13129
262	4677	13106
263	4690	13076
264	4704	13047
265	4723	13032
266	4740	13013
267	4757	12994
268	4773	12970
269	4790	12952
270	4805	12927
271	4820	12901
272	4839	12887
273	4856	12868
274	4872	12846
275	4888	12823
276	4903	12799
277	4925	12792
278	4940	12768
279	4955	12742
280	4971	12719
281	4990	12705
282	5004	12678
283	5013	12639
284	5022	12600
285	5035	12571
286	5051	12549
287	5070	12535
288	5083	12506
289	5094	12471
290	5101	12428
291	5117	12409
292	5127	12372
293	5135	12333
294	5155	12319
295	5172	12302
296	5197	12303
297	5211	12275
298	5232	12266
299	5250	12250
300	5265	12226
301	5275	12191
302	5289	12166
303	5301	12137
304	5316	12115
305	5329	12087
306	5345	12065
307	5359	12040
308	5382	12037
309	5399	12017
310	5414	11996
311	5428	11971
312	5444	11949
313	5458	11926
314	5476	11908
315	5485	11873
316	5504	11859
317	5520	11838
318	5534	11815
319	5549	11791
320	5565	11772
321	5584	11758
322	5598	11734
323	5619	11725
324	5655	11746
325	5677	11738
326	5705	11742
327	5722	11724
328	5738	11704
329	5752	11679
330	5764	11650
331	5781	11632
332	5794	11606
333	5807	11579
334	5824	11562
335	5837	11536
336	5850	11509
337	5868	11494
338	5880	11466
339	5896	11446
340	5910	11422
341	5925	11400
342	5937	11372
343	5951	11349
344	5971	11337
345	5988	11320
346	6017	11323
347	6032	11302
348	6064	11313
349	6083	11297
350	6105	11289
351	6136	11296
352	6164	11298
353	6186	11289
354	6213	11289
355	6225	11261
356	6250	11257
357	6261	11229
358	6281	11216
359	6297	11195
360	6327	11199
361	6336	11167
362	6365	11170
363	6390	11165
364	6405	11144
365	6417	11116
366	6435	11099
367	6451	11080
368	6471	11065
369	6479	11033
370	6490	11004
371	6523	11012
372	6547	11005
373	6570	10997
374	6597	10996
375	6621	10988
376	6641	10975
377	6657	10954
378	6671	10931
379	6686	10909
380	6700	10886
381	6720	10872
382	6737	10854
383	6753	10834
384	6768	10811
385	6782	10788
386	6799	10769
387	6813	10746
388	6827	10724
389	6847	10709
390	6863	10690
391	6880	10671
392	6897	10652
393	6911	10630
394	6926	10609
395	6946	10594
396	6964	10578
397	6980	10558
398	6994	10535
399	7013	10520
400	7031	10502
401	7047	10483
402	7063	10463
403	7081	10447
404	7101	10433
405	7119	10416
406	7133	10393
407	7150	10375
408	7165	10353
409	7182	10335
410	7196	10312
411	7225	10312
412	7249	10303
413	7266	10285
414	7285	10269
415	7301	10250
416	7316	10229
417	7336	10214
418	7352	10195
419	7367	10174
420	7386	10158
421	7401	10138
422	7416	10116
423	7436	10102
424	7453	10083
425	7468	10062
426	7483	10042
427	7498	10021
428	7512	9998
429	7530	9982
430	7549	9966
431	7564	9946
432	7581	9927
433	7604	9916
434	7627	9906
435	7641	9884
436	7658	9866
437	7677	9851
438	7694	9832
439	7708	9811
440	7723	9790
441	7741	9773
442	7760	9757
443	7776	9738
444	7795	9722
445	7812	9704
446	7828	9685
447	7845	9667
448	7863	9649
449	7879	9630
450	7895	9611
451	7912	9592
452	7930	9575
453	7946	9556
454	7963	9538
455	7979	9519
456	7994	9499
457	8013	9482
458	8029	9463
459	8044	9443
460	8062	9426
461	8082	9411
462	8096	9391
463	8112	9371
464	8131	9355
465	8147	9336
466	8162	9316
467	8176	9294
468	8193	9276
469	8209	9257
470	8224	9237
471	8239	9217
472	8254	9196
473	8269	9177
474	8285	9157
475	8299	9136
476	8315	9117
477	8330	9097
478	8345	9077
479	8360	9056
480	8376	9038
481	8391	9018
482	8406	8997
483	8426	8983
484	8445	8967
485	8462	8949
486	8482	8935
487	8497	8915
488	8516	8899
489	8526	8874
490	8536	8849
491	8546	8824
492	8558	8801
493	8568	8776
494	8577	8751
495	8587	8725
496	8598	8702
497	8607	8676
498	8617	8652
499	8637	8637
500	8653	8619
501	8671	8602
502	8685	8582
503	8700	8562
504	8717	8544
505	8731	8524
506	8746	8504
507	8761	8485
508	8780	8469
509	8796	8451
510	8813	8434
511	8832	8418
512	8850	8401
513	8869	8386
514	8887	8369
515	8907	8354
516	8923	8336
517	8939	8317
518	8953	8298
519	8970	8280
520	8985	8260
521	9000	8241
522	9015	8222
523	9029	8202
524	9053	8190
525	9070	8173
526	9087	8156
527	9127	8159
528	9144	8142
529	9176	8137
530	9204	8129
531	9230	8120
532	9255	8109
533	9279	8097
534	9303	8085
535	9341	8086
536	9385	8092
537	9426	8094
538	9449	8082
539	9488	8082
540	9522	8079
541	9559	8078
542	9586	8068
543	9608	8054
544	9642	8049
545	9673	8043
546	9727	8055
547	9760	8050
548	9806	8055
549	9840	8051
550	9869	8042
551	9884	8022
552	9900	8003
553	9917	7983
554	9930	7962
555	9944	7941
556	9961	7922
557	10007	7927
558	10039	7920
559	10059	7903
560	10068	7879
561	10080	7856
562	10090	7831
563	10096	7805
564	10104	7779
565	10111	7753
566	10118	7727
567	10126	7701
568	10133	7676
569	10141	7650
570	10149	7625
571	10156	7599
572	10164	7574
573	10171	7548
574	10178	7523
575	10185	7498
576	10193	7472
577	10202	7448
578	10209	7423
579	10216	7398
580	10224	7373
581	10231	7348
582	10238	7323
583	10245	7298
584	10252	7273
585	10260	7248
586	10267	7223
587	10274	7198
588	10281	7174
589	10292	7152
590	10315	7139
591	10335	7123
592	10352	7105
593	10370	7088
594	10384	7068
595	10398	7048
596	10419	7033
597	10430	7011
598	10437	6987
599	10444	6963
600	10452	6939
601	10459	6915
602	10467	6891
603	10474	6867
604	10481	6843
605	10488	6819
606	10496	6795
607	10503	6771
608	10510	6747
609	10517	6724
610	10524	6700
611	10531	6676
612	10538	6653
613	10545	6629
614	10553	6606
615	10571	6590
616	10588	6572
617	10600	6552
618	10607	6529
619	10615	6506
620	10623	6483
621	10630	6460
622	10638	6437
623	10645	6414
624	10653	6392
625	10661	6369
626	10675	6350
627	10683	6328
628	10689	6305
629	10696	6282
630	10703	6259
631	10710	6236
632	10717	6213
633	10724	6191
634	10732	6168
635	10739	6146
636	10746	6123
637	10754	6101
638	10761	6079
639	10768	6057
640	10775	6035
641	10782	6012
642	10789	5990
643	10798	5969
644	10805	5946
645	10812	5924
646	10820	5903
647	10828	5882
648	10835	5860
649	10842	5838
650	10850	5816
651	10858	5795
652	10865	5774
653	10873	5752
654	10881	5731
655	10888	5709
656	10895	5688
657	10903	5666
658	10910	5645
659	10917	5624
660	10925	5603
661	10932	5581
662	10939	5560
663	10947	5539
664	10955	5518
665	10962	5497
666	10970	5476
667	10977	5455
668	10984	5434
669	10991	5413
670	10998	5392
671	11006	5371
672	11018	5353
673	11033	5336
674	11041	5316
675	11049	5295
676	11056	5275
677	11064	5254
678	11082	5239
679	11097	5222
680	11113	5205
681	11132	5190
682	11148	5174
683	11163	5157
684	11177	5140
685	11199	5126
686	11218	5111
687	11232	5094
688	11243	5075
689	11268	5062
690	11287	5047
691	11301	5030
692	11321	5015
693	11330	4995
694	11338	4975
695	11345	4955
696	11353	4935
697	11359	4915
698	11367	4895
699	11374	4874
700	11382	4854
