,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(13,)",[0.66960424 0.66463546 0.67184995 0.68925494],0.6738361474267716,"('cat__type',)",0.014870747321687292,0.009276931086972176,0.005356038660316993
2,"(13, 15)",[0.75304607 0.74096512 0.74598029 0.76153014],0.7503804054329958,"('cat__type', 'num__monthly_charges')",0.012401913492182203,0.007736779754557118,0.004466831873954399
3,"(13, 15, 16)",[0.82097338 0.80303205 0.81802563 0.80485401],0.8117212662453417,"('cat__type', 'num__monthly_charges', 'num__total_charges')",0.012622102687509882,0.007874142050275217,0.004546138032363749
4,"(2, 13, 15, 16)",[0.8178941  0.81037746 0.82742067 0.80180239],0.8143736520885869,"('bin__online_security_Yes', 'cat__type', 'num__monthly_charges', 'num__total_charges')",0.015135752994165865,0.009442251585536163,0.005451486494665475
5,"(2, 6, 13, 15, 16)",[0.82150038 0.82188123 0.82986815 0.8084464 ],0.8204240387790384,"('bin__online_security_Yes', 'bin__streaming_tv_Yes', 'cat__type', 'num__monthly_charges', 'num__total_charges')",0.012311089484984133,0.007680120325303664,0.0044341195372227865
6,"(2, 6, 11, 13, 15, 16)",[0.82347992 0.8286465  0.82771684 0.81525692],0.8237750447169302,"('bin__online_security_Yes', 'bin__streaming_tv_Yes', 'bin__multiple_lines_Yes', 'cat__type', 'num__monthly_charges', 'num__total_charges')",0.00847893817308194,0.005289480307937478,0.0030538828796609274
7,"(2, 5, 6, 11, 13, 15, 16)",[0.82636287 0.82559822 0.82418781 0.81474709],0.8227239957703795,"('bin__online_security_Yes', 'bin__tech_support_Yes', 'bin__streaming_tv_Yes', 'bin__multiple_lines_Yes', 'cat__type', 'num__monthly_charges', 'num__total_charges')",0.00748767130229197,0.004671090777795579,0.0026968555179694557
8,"(1, 2, 5, 6, 11, 13, 15, 16)",[0.82568236 0.82856974 0.82590149 0.81695881],0.8242781000515774,"('bin__internet_service_Fiber optic', 'bin__online_security_Yes', 'bin__tech_support_Yes', 'bin__streaming_tv_Yes', 'bin__multiple_lines_Yes', 'cat__type', 'num__monthly_charges', 'num__total_charges')",0.007014645299576421,0.0043759993789162285,0.0025264844193909194
9,"(1, 2, 3, 5, 6, 11, 13, 15, 16)",[0.83074266 0.82615916 0.83248804 0.81741265],0.8267006265440296,"('bin__internet_service_Fiber optic', 'bin__online_security_Yes', 'bin__online_backup_Yes', 'bin__tech_support_Yes', 'bin__streaming_tv_Yes', 'bin__multiple_lines_Yes', 'cat__type', 'num__monthly_charges', 'num__total_charges')",0.009360361299649905,0.005839345182025514,0.003371347512733574
10,"(1, 2, 3, 5, 6, 11, 13, 14, 15, 16)",[0.83172874 0.82395672 0.83083182 0.82225752],0.8271936998906096,"('bin__internet_service_Fiber optic', 'bin__online_security_Yes', 'bin__online_backup_Yes', 'bin__tech_support_Yes', 'bin__streaming_tv_Yes', 'bin__multiple_lines_Yes', 'cat__type', 'cat__payment_method', 'num__monthly_charges', 'num__total_charges')",0.006640601306446214,0.004142656677792913,0.002391763948083939
